Name,Age Range,Open Time,Close Time,Program Type,Image URL,Page Link
Westoak Woods Baptist Preschool,Up to 13 yrs,N/A,N/A,Arts,https://images.mybrightwheel.com/schools/3.jpg?h=211&auto=format,https://mybrightwheel.com/search/austin/westoak-woods-baptist-preschool-38304
Whole Life Learning,3 yrs - 13 yrs,8:00am,6:00pm,Arts,N/A,https://mybrightwheel.com/search/austin/whole-life-learning-42958
Atelier Preescolar LLC,12 mos - 13 yrs,7:00am,5:30pm,"Daycare & Child Care, Preschools",N/A,https://mybrightwheel.com/search/austin/atelier-preescolar-llc-42116
Barton Creek Child Development Center,Up to 13 yrs,7:00am,6:00pm,Play Based,N/A,https://mybrightwheel.com/search/austin/barton-creek-child-development-center-40690
Barton Creek Early Preschool Center,Up to 13 yrs,7:00am,6:00pm,Play Based,N/A,https://mybrightwheel.com/search/austin/barton-creek-early-preschool-center-40816
Capital City Kids Daycare,Up to 13 yrs,7:00am,6:00pm,Play Based,N/A,https://mybrightwheel.com/search/austin/capital-city-kids-daycare-43611
Casa Montessori Child Development Center,3 yrs - 13 yrs,7:30am,5:30pm,Montessori,N/A,https://mybrightwheel.com/search/austin/casa-montessori-child-development-center-32945
Cedars Montessori School Of Oak Hill,3 yrs - 13 yrs,8:30am,2:30pm,Montessori,N/A,https://mybrightwheel.com/search/austin/cedars-montessori-school-of-oak-hill-42616
Cielito Lindo Spanish Immersion Preschool,12 mos - 13 yrs,7:00am,6:00pm,"Daycare & Child Care, Preschools",N/A,https://mybrightwheel.com/search/austin/cielito-lindo-spanish-immersion-preschool-34005
Escuelita Art-Es-Inc,12 mos - 13 yrs,8:00am,2:30pm,Arts,N/A,https://mybrightwheel.com/search/austin/escuelita-art-es-inc-40991
Faith  Preschool,12 mos - 13 yrs,9:00am,1:00pm,Play Based,N/A,https://mybrightwheel.com/search/austin/faith-preschool-38034
Habibis Hutch Preschool,12 mos - 13 yrs,7:30am,6:00pm,Arts,N/A,https://mybrightwheel.com/search/austin/habibis-hutch-preschool-37047
Learn And Play Preschool,12 mos - 13 yrs,6:00am,6:00pm,Play Based,N/A,https://mybrightwheel.com/search/austin/learn-and-play-preschool-42455
Open Door Central,Up to 13 yrs,7:30am,5:30pm,Outdoor Nature,N/A,https://mybrightwheel.com/search/austin/open-door-central-36607
St. Catherine Of Siena Preschool,12 mos - 13 yrs,N/A,N/A,Montessori,N/A,https://mybrightwheel.com/search/austin/st-catherine-of-siena-preschool-40060
Sun Moon And Stars LLC Learning Center,Up to 13 yrs,7:00am,6:00pm,"Daycare & Child Care, Preschools",N/A,https://mybrightwheel.com/search/austin/sun-moon-and-stars-llc-learning-center-39321
Trinity Episcopal School Austin,5 yrs - 13 yrs,8:00am,5:00pm,Preschools,N/A,https://mybrightwheel.com/search/austin/trinity-episcopal-school-austin-232036
Wee Wisdom School,12 mos - 13 yrs,8:30am,2:00pm,Arts,N/A,https://mybrightwheel.com/search/austin/wee-wisdom-school-42695
"Barton Creek Child Development Infant Center, Inc.",Up to 3 yrs,7:00am,6:00pm,Play Based,https://images.mybrightwheel.com/schools/15.jpg?h=211&auto=format,https://mybrightwheel.com/search/austin/barton-creek-child-development-infant-center-inc-40827
Bilingual Early Learning Academy,Up to 13 yrs,7:00am,6:30pm,"Daycare & Child Care, Preschools",https://images.mybrightwheel.com/schools/13.jpg?h=211&auto=format,https://mybrightwheel.com/search/austin/bilingual-early-learning-academy-43467
Grace Garden Child Development Center,Up to 5 yrs,9:00am,1:30pm,Play Based,https://images.mybrightwheel.com/schools/3.jpg?h=211&auto=format,https://mybrightwheel.com/search/austin/grace-garden-child-development-center-37318
International School Of Texas,12 mos - 13 yrs,7:30am,5:30pm,"Daycare & Child Care, Preschools",N/A,https://mybrightwheel.com/search/austin/international-school-of-texas-39796
KidSpring Bilingual Learning Center,3 mos - 5 yrs,7:00am,6:00pm,Language Immersion,N/A,https://mybrightwheel.com/search/austin/kidspring-bilingual-learning-center-3303902
Kirby Hall School,4 yrs - 13 yrs,7:45am,5:45pm,Outdoor Nature,N/A,https://mybrightwheel.com/search/austin/kirby-hall-school-231887
La Tribu Rural,12 mos - 13 yrs,8:00am,5:30pm,Language Immersion,N/A,https://mybrightwheel.com/search/austin/la-tribu-rural-42375
Mt. Olive Preschool,4 yrs - 5 yrs,N/A,N/A,Preschools,N/A,https://mybrightwheel.com/search/austin/mt-olive-preschool-230941
My Friends House,Up to 13 yrs,7:00am,6:00pm,Religious,N/A,https://mybrightwheel.com/search/austin/my-friends-house-41533
Open Door Preschool At M Station,Up to 13 yrs,7:15am,5:45pm,Outdoor Nature,N/A,https://mybrightwheel.com/search/austin/open-door-preschool-at-m-station-38362
Spicewood Country School,12 mos - 5 yrs,7:30am,5:30pm,Outdoor Nature,N/A,https://mybrightwheel.com/search/austin/spicewood-country-school-41000
St Mark Children's Day Out,12 mos - 13 yrs,9:00am,2:30pm,Play Based,N/A,https://mybrightwheel.com/search/austin/st-mark-children-s-day-out-33608
The Ivy International School,12 mos - 13 yrs,8:00am,5:00pm,"Daycare & Child Care, Preschools",N/A,https://mybrightwheel.com/search/austin/the-ivy-international-school-42557
Wesley School,Up to 13 yrs,7:00am,6:00pm,"Daycare & Child Care, Preschools",N/A,https://mybrightwheel.com/search/austin/wesley-school-40989
Bloom Preschool,12 mos - 13 yrs,8:30am,2:30pm,Play Based,N/A,https://mybrightwheel.com/search/austin/bloom-preschool-40099
Colores Spanish Immersion Preschool,12 mos - 13 yrs,N/A,N/A,Arts,N/A,https://mybrightwheel.com/search/austin/colores-spanish-immersion-preschool-34674
El Buen Pastor Early Childhood Development Center,Up to 13 yrs,7:00am,5:30pm,Arts,N/A,https://mybrightwheel.com/search/austin/el-buen-pastor-early-childhood-development-center-35484
Green Monkey Daycare,Up to 13 yrs,6:00am,6:00pm,Outdoor Nature,N/A,https://mybrightwheel.com/search/austin/green-monkey-daycare-42897
International Montessori House Of Children,12 mos - 13 yrs,7:00am,6:00pm,"Daycare & Child Care, Preschools",N/A,https://mybrightwheel.com/search/austin/international-montessori-house-of-children-41178
Natures Way Preschool,3 yrs - 13 yrs,9:00am,5:00pm,Outdoor Nature,N/A,https://mybrightwheel.com/search/austin/natures-way-preschool-32548
Tarrytown Umc Childrens Day,Up to 13 yrs,N/A,N/A,Religious,https://images.mybrightwheel.com/schools/1.jpg?h=211&auto=format,https://mybrightwheel.com/search/austin/tarrytown-umc-childrens-day-37922
Yoga Peace School,12 mos - 13 yrs,8:00am,6:00pm,Play Based,https://images.mybrightwheel.com/schools/5.jpg?h=211&auto=format,https://mybrightwheel.com/search/austin/yoga-peace-school-40829
Abiding Love Lutheran Child Development Center,Up to 13 yrs,7:00am,6:00pm,Religious,https://images.mybrightwheel.com/schools/17.jpg?h=211&auto=format,https://mybrightwheel.com/search/austin/abiding-love-lutheran-child-development-center-39957
Child Craft School,Up to 13 yrs,7:30am,6:00pm,Play Based,N/A,https://mybrightwheel.com/search/austin/child-craft-school-34258
Escuelita Del Alma,Up to 13 yrs,7:00am,5:45pm,"Daycare & Child Care, Preschools",N/A,https://mybrightwheel.com/search/austin/escuelita-del-alma-38585
Kinney Avenue Christian Preschool,Up to 13 yrs,8:00am,4:00pm,Religious,N/A,https://mybrightwheel.com/search/austin/kinney-avenue-christian-preschool-36696
Lake Hills Montessori,12 mos - 13 yrs,7:30am,6:00pm,Montessori,N/A,https://mybrightwheel.com/search/austin/lake-hills-montessori-33552
Mi Casita Montessori,12 mos - 13 yrs,7:30am,6:00pm,Montessori,N/A,https://mybrightwheel.com/search/austin/mi-casita-montessori-35499
Star Montessori School,Up to 13 yrs,6:30am,6:15pm,Montessori,N/A,https://mybrightwheel.com/search/austin/star-montessori-school-38558
The William Mosing Center Dba Williams Community School,12 mos - 5 yrs,8:15am,3:15pm,Play Based,N/A,https://mybrightwheel.com/search/austin/the-william-mosing-center-dba-williams-community-school-40410
Ashford Montessori,Up to 13 yrs,6:30am,6:30pm,Montessori,N/A,https://mybrightwheel.com/search/austin/ashford-montessori-40878
Casner Christian Academy,12 mos - 13 yrs,9:00am,1:30pm,Religious,N/A,https://mybrightwheel.com/search/austin/casner-christian-academy-39356
Circle C Child Development Center,Up to 13 yrs,7:00am,6:30pm,"Daycare & Child Care, Preschools",N/A,https://mybrightwheel.com/search/austin/circle-c-child-development-center-40896
First Class Child Development Center 3,Up to 13 yrs,6:30am,6:30pm,Arts,N/A,https://mybrightwheel.com/search/austin/first-class-child-development-center-3-36873
Hyde Park Schools,4 yrs - 13 yrs,8:00am,5:00pm,Language Immersion,N/A,https://mybrightwheel.com/search/austin/hyde-park-schools-232037
Mariposa Family Learning Center,3 yrs - 5 yrs,7:00am,6:00pm,Waldorf,N/A,https://mybrightwheel.com/search/austin/mariposa-family-learning-center-32932
School In The Hills-River Place LLC,12 mos - 13 yrs,6:30am,6:30pm,Montessori,N/A,https://mybrightwheel.com/search/austin/school-in-the-hills-river-place-llc-42969
Spilled Milk Social Club,Up to 13 yrs,N/A,N/A,Preschools,N/A,https://mybrightwheel.com/search/austin/spilled-milk-social-club-228176
Escuela Hispanoamericana De Texas,Up to 13 yrs,7:00am,6:00pm,Arts,N/A,https://mybrightwheel.com/search/austin/escuela-hispanoamericana-de-texas-43470
Sweet Briar Child Development Center 1,Up to 13 yrs,6:45am,6:00pm,Mixed Age,N/A,https://mybrightwheel.com/search/austin/sweet-briar-child-development-center-1-32172
Child Development Center At Temple Beth Israel,Up to 13 yrs,7:30am,6:00pm,Play Based,https://images.mybrightwheel.com/schools/15.jpg?h=211&auto=format,https://mybrightwheel.com/search/austin/child-development-center-at-temple-beth-israel-39384
Texas Preparatory School Austin,3 yrs - 13 yrs,7:00am,6:30pm,"Daycare & Child Care, Preschools",https://images.mybrightwheel.com/schools/17.jpg?h=211&auto=format,https://mybrightwheel.com/search/austin/texas-preparatory-school-austin-41781
Todays Child Day Care,Up to 13 yrs,6:30am,6:00pm,Arts,https://images.mybrightwheel.com/schools/13.jpg?h=211&auto=format,https://mybrightwheel.com/search/austin/todays-child-day-care-42701
Four Seasons Community School,Up to 13 yrs,7:30am,5:30pm,Play Based,N/A,https://mybrightwheel.com/search/austin/four-seasons-community-school-39400
Little Life Preschool,Up to 13 yrs,7:00am,6:00pm,"Daycare & Child Care, Preschools",N/A,https://mybrightwheel.com/search/austin/little-life-preschool-38658
Veritas Academy,5 yrs - 13 yrs,7:30am,4:30pm,Language Immersion,N/A,https://mybrightwheel.com/search/austin/veritas-academy-232101
Aim And Focus Karate,5 yrs - 13 yrs,12:00pm,9:00pm,Play Based,N/A,https://mybrightwheel.com/search/austin/aim-and-focus-karate-199148
Anderson Mill Elem Pre-K,4 yrs - 11 yrs,9:00am,6:00pm,Outdoor Nature,N/A,https://mybrightwheel.com/search/austin/anderson-mill-elem-pre-k-230970
Austin Children's Garden,12 mos - 13 yrs,8:45am,5:30pm,Play Based,N/A,https://mybrightwheel.com/search/austin/austin-children-s-garden-37409
Austin Peace Academy,Up to 13 yrs,8:00am,6:00pm,Mixed Age,N/A,https://mybrightwheel.com/search/austin/austin-peace-academy-40328
Austin Waldorf School,5 yrs - 13 yrs,8:00am,4:00pm,Waldorf,N/A,https://mybrightwheel.com/search/austin/austin-waldorf-school-232813
Bannockburn Christian Academy,4 yrs - 12 yrs,8:00am,4:00pm,Religious,N/A,https://mybrightwheel.com/search/austin/bannockburn-christian-academy-232567
Barton Creek Child Development Center Eisd,Up to 5 yrs,7:00am,5:30pm,Mixed Age,N/A,https://mybrightwheel.com/search/austin/barton-creek-child-development-center-eisd-35738
Bethany Lutheran Preschool,12 mos - 13 yrs,9:00am,1:00pm,Outdoor Nature,N/A,https://mybrightwheel.com/search/austin/bethany-lutheran-preschool-39204
Children's Choice Learning Center,Up to 13 yrs,6:00am,6:00pm,Arts,N/A,https://mybrightwheel.com/search/austin/children-s-choice-learning-center-39343
Childrens Courtyard,Up to 13 yrs,6:30am,6:00pm,Play Based,N/A,https://mybrightwheel.com/search/austin/childrens-courtyard-43033
Copernicus Academy,18 mos - 5 yrs,8:30am,5:30pm,Technology,N/A,https://mybrightwheel.com/search/austin/copernicus-academy-228020
"Country Home Learning Center #7, Ltd",Up to 13 yrs,6:30am,6:30pm,Arts,N/A,https://mybrightwheel.com/search/austin/country-home-learning-center-7-ltd-41445
Creative Action After School At   Campbell Elementary,2 yrs - 11 yrs,9:00am,5:00pm,Mixed Age,N/A,https://mybrightwheel.com/search/austin/creative-action-after-school-at-campbell-elementary-37963
Generations Child Development Centers II,Up to 13 yrs,6:45am,6:00pm,Play Based,N/A,https://mybrightwheel.com/search/austin/generations-child-development-centers-ii-36381
Happy Hearts Bilingual Learning Center,Up to 5 yrs,6:00am,6:00pm,Arts,https://images.mybrightwheel.com/schools/14.jpg?h=211&auto=format,https://mybrightwheel.com/search/austin/happy-hearts-bilingual-learning-center-227670
Harmony School Of Endeavor Austin,4 yrs - 13 yrs,7:30am,4:30pm,Arts,https://images.mybrightwheel.com/schools/14.jpg?h=211&auto=format,https://mybrightwheel.com/search/austin/harmony-school-of-endeavor-austin-231286
Harmony Science Academy - Austin,4 yrs - 13 yrs,8:00am,3:30pm,Arts,https://images.mybrightwheel.com/schools/1.jpg?h=211&auto=format,https://mybrightwheel.com/search/austin/harmony-science-academy-austin-232909
Hola Spanish Immersion Program,12 mos - 13 yrs,6:00am,6:00pm,Language Immersion,N/A,https://mybrightwheel.com/search/austin/hola-spanish-immersion-program-43086
Kido International Preschool,Up to 13 yrs,6:30am,6:30pm,Montessori,N/A,https://mybrightwheel.com/search/austin/kido-international-preschool-228047
Kla Schools Of Sweetwater,Up to 13 yrs,7:00am,6:00pm,Arts,N/A,https://mybrightwheel.com/search/austin/kla-schools-of-sweetwater-227552
Little Munchkins Learning Center,Up to 13 yrs,7:00am,6:00pm,Play Based,N/A,https://mybrightwheel.com/search/austin/little-munchkins-learning-center-37117
Little Tiger Chinese Immersion School,Up to 5 yrs,8:30am,5:00pm,"Daycare & Child Care, Preschools",N/A,https://mybrightwheel.com/search/austin/little-tiger-chinese-immersion-school-227468
"Lsp Four Points, Inc.",Up to 5 yrs,9:00am,4:00pm,Montessori,N/A,https://mybrightwheel.com/search/austin/lsp-four-points-inc-227491
